source	gene ID	gene name	orthologs
OrthoMCL	DDB_G0267990	ypel	M.musculus:ENSMUSP00000018571 | M.musculus:ENSMUSP00000037764 | M.musculus:ENSMUSP00000088231 | M.musculus:ENSMUSP00000037332
InParanoid	DDB_G0267990	ypel	M.musculus:ENSMUSP00000018571
InParanoid	DDB_G0267994	DDB_G0267994	M.musculus:ENSMUSP00000092680
OrthoMCL	DDB_G0269192	tifA	M.musculus:ENSMUSP00000026667 | M.musculus:ENSMUSP00000075207
InParanoid	DDB_G0269192	tifA	M.musculus:ENSMUSP00000026667
OrthoMCL	DDB_G0268020	bkdB	M.musculus:ENSMUSP00000112236
InParanoid	DDB_G0268020	bkdB	M.musculus:ENSMUSP00000112236
OrthoMCL	DDB_G0269856	ddcA	M.musculus:ENSMUSP00000011323 | M.musculus:ENSMUSP00000023884
OrthoMCL	DDB_G0269864	DDB_G0269864	M.musculus:ENSMUSP00000070467
InParanoid	DDB_G0269864	DDB_G0269864	M.musculus:ENSMUSP00000000811
OrthoMCL	DDB_G0267432	abcG15	M.musculus:ENSMUSP00000024829 | M.musculus:ENSMUSP00000034648 | M.musculus:ENSMUSP00000031239 | M.musculus:ENSMUSP00000031822 | M.musculus:ENSMUSP00000035246
OrthoMCL	DDB_G0267966	pyd1	M.musculus:ENSMUSP00000039429
InParanoid	DDB_G0267966	pyd1	M.musculus:ENSMUSP00000039429
OrthoMCL	DDB_G0269800	DDB_G0269800	M.musculus:ENSMUSP00000023666
InParanoid	DDB_G0269800	DDB_G0269800	M.musculus:ENSMUSP00000023666
OrthoMCL	DDB_G0269642	mak16l	M.musculus:ENSMUSP00000033983
InParanoid	DDB_G0269642	mak16l	M.musculus:ENSMUSP00000033983
OrthoMCL	DDB_G0269658	DDB_G0269658	M.musculus:ENSMUSP00000035303 | M.musculus:ENSMUSP00000045968
InParanoid	DDB_G0269658	DDB_G0269658	M.musculus:ENSMUSP00000035303
OrthoMCL	DDB_G0269546	DDB_G0269546	M.musculus:ENSMUSP00000107388
